nquest,pesofit,y,riscons2
677422,.54204923,40430.594,100
677464,.30407074,25574.791,20
677474,.6158855,28512.012,50
677475,.6158855,28827.082,50
677476,1.1363666,12340,100
677489,.81974101,26227.426,50
677627,.31892899,20326.352,0
677655,.35122159,37138.398,0
677775,.54093713,16000,0
677881,1.2538024,31334.432,100
677897,.3497394,21673.305,0
677946,1.0581764,83426.742,30
677964,1.138477,28150,40
677988,3.8042524,45621.105,50
678132,.7087763,1513.9281,50
678160,.43175909,34058.055,60
678214,.35318801,6020.4702,0
680060,.3736037,40329.32,40
680143,.33822373,32992.141,0
680144,.29283211,33100,70
680146,.35026556,13391.643,80
680239,.64792031,25618.666,20
680243,.60952973,36236.461,40
680244,1.9795979,50053.602,40
680274,.80951792,112248.41,50
680311,1.3710092,17110.996,0
680391,1.6397153,49022.68,55
680430,.70123351,4800,80
680498,.61160672,57507.566,30
680500,.30339479,22323.305,50
680537,3.5523698,38418.633,50
680587,1.0563779,36533.914,100
680601,1.0830919,67501.445,50
680686,1.7571734,76291.633,50
680732,1.1054775,72734.578,50
680771,.79149103,22906.002,20
680861,3.8504276,40150.727,0
680870,5.8621454,54102.934,0
680914,3.5969281,33666.25,50
680938,.53813422,8500,100
680943,.36714467,27745.816,90
680981,.9465735,46482.707,0
680982,.93682683,23019.039,20
681097,2.0040915,16510.732,40
681133,2.3197491,10.995845,20
681192,.3415533,5521.4663,70
681329,4.785471,13300,100
681349,.49159339,10400,100
681380,3.8623843,30200,100
681387,.20753616,10400,0
681394,1.0082917,36850.977,50
681403,1.7291399,8445,100
681430,1.1202543,16991.826,0
681477,1.262054,29611.533,0
681499,.54039329,20579.322,50
681520,.52650768,15621.259,50
681640,1.3308765,27169.041,0
681658,.35062671,21636.652,20
681668,1.7592658,20288.734,90
681673,2.50474,29385.613,0
681713,1.0653923,47086.199,50
681790,.46211937,24707.33,50
681822,.70828468,26456.963,30
681844,.35409319,57086.652,50
681929,1.5122499,14003.555,50
682006,.45943451,47915.742,50
682118,.2634978,14567.648,0
682125,1.6886243,13611,20
682169,.25677335,16703.598,50
682170,.31747469,49332.574,60
682192,.24036159,38704.98,0
682204,.44643316,29608.645,50
682210,1.46026,26936.027,70
682240,.20215276,36198.059,50
682272,4.8208699,38946.992,0
682282,2.0828993,26972.68,60
682298,1.3148615,24005.406,50
682359,3.7952952,28010.008,50
682360,2.08443,11600,50
682363,1.6950073,26825,0
682398,.30461919,23907.33,50
682408,.5672437,30609.188,70
682457,.16131493,19049.893,40
682496,.49387896,18180,40
682532,1.990631,22005.266,80
682625,.39309481,11780.996,50
682704,2.3859375,42017.672,0
682732,2.0051892,14850,50
682737,.2937212,96800.602,0
682743,.44318971,4814.6611,40
682782,.30977231,14243.583,20
682783,.29856154,18587.154,10
682791,.93005824,118885.13,0
682812,1.1532865,44307.332,20
682829,2.2755201,27466.924,50
682897,.68317789,67617.523,10
682900,.6612311,38834.801,0
682918,1.0496087,35025.859,100
682969,1.7782214,26931.525,70
683033,.34026474,56987.617,50
683034,.45839298,62699.957,50
683042,.81055266,24911.766,0
683043,1.131242,20154.896,0
683052,.25443897,31433.918,0
683081,.83412308,10802.933,0
683119,.6993959,39492.68,50
683120,.72752112,27646.938,0
683121,.31131819,36958.645,0
683164,3.6143844,45378.949,50
683171,1.2443472,51024.762,0
683177,.34173724,38142.047,100
683230,2.2968731,11531.301,20
683245,2.4193347,47585.891,50
683247,5.0933504,22221.992,100
683248,2.5011041,24436.652,100
683249,4.3109183,52013.066,100
683250,2.7420716,65180.43,40
683251,2.7631905,8360.9961,100
683349,.62510097,68869.344,100
683352,.60385787,29843.861,50
683373,3.1487036,34699.73,50
683377,1.1813287,58756.793,100
683399,.41748855,35246.125,40
683431,2.1326602,10659.719,100
683437,.46504769,13007.33,50
683469,1.6690179,47600,100
683472,1.6345134,40234.418,50
683544,.48454431,55595,0
683611,2.2188385,10805.69,50
683645,.2539838,27420.801,100
683650,.25912887,23845,0
683660,.44200873,18600,30
683661,.36953202,37214.66,50
683664,.85767955,63599.465,100
